TS,HA,Error,
0.0,10.0,0.1993629064600846,
0.0,9.0,-3.279507679946935,
0.0,8.0,3.612315474801079,
0.0,7.0,2.634391337579533,
0.0,6.0,-1.2961062179503458,
0.0,5.0,1.9098733890331339,
0.0,4.0,2.5779857301777263,
0.0,3.0,2.213893782049656,
0.0,2.0,-1.2961062179503458,
0.0,1.0,-1.6001266109668713,
0.0,0.0,-1.6001266109668713,
1.0,10.0,3.216065591862481,
1.0,9.0,-1.0321517912709837,
1.0,8.0,0.9963555415978576,
1.0,7.0,1.5799999999999912,
1.0,6.0,-0.9536444584021453,
1.0,5.0,2.6509847883030204,
1.0,4.0,-0.5303756381624893,
1.0,3.0,-0.8590152116969847,
1.0,2.0,-0.8590152116969847,
1.0,1.0,2.6509847883030204,
1.0,0.0,-0.5303756381624893,
2.0,10.0,-0.35849506405615017,
2.0,9.0,0.6937878153184514,
2.0,8.0,1.1141310133412539,
2.0,7.0,1.7004508619536622,
2.0,6.0,2.789624361837518,
2.0,5.0,2.789624361837518,
2.0,4.0,-0.7203756381624871,
2.0,3.0,2.4609847883030227,
2.0,2.0,2.789624361837518,
2.0,1.0,-0.7203756381624871,
2.0,0.0,-1.0490152116969824,
3.0,10.0,-0.33146592770462924,
3.0,9.0,-1.3956742055903852,
3.0,8.0,-3.3456742055903756,
3.0,7.0,-0.7681271332123671,
3.0,6.0,2.801651755905162,
3.0,5.0,1.5993672801466285,
3.0,4.0,0.6589418534171827,
3.0,3.0,1.1010151540661433,
3.0,2.0,-2.156250047372666,
3.0,1.0,-1.647701393621963,
3.0,0.0,2.3740817577920854,
4.0,10.0,0.05853407229537311,
4.0,9.0,0.08035674205590126,
4.0,8.0,-4.47045784207771,
4.0,7.0,-0.7931271332123657,
4.0,6.0,6.239999999999997,
4.0,5.0,-3.6728618342370822,
4.0,4.0,1.837298606378031,
4.0,3.0,0.6339418534171823,
4.0,2.0,-0.23233322981874238,
4.0,1.0,0.5747621063660961,
4.0,0.0,-0.23233322981874238,
5.0,10.0,-0.25617972812703727,
5.0,9.0,-2.2563102967921616,
